Well;Plate;ID_unique;Light_panel;Group;Genus;Species;Strain;Species_Strain;Medium;Replicate;Salinity;Temperature;Light_period;Light_intensity;Experiment
D1;2;D1_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;4;20;7;14;50;2
E1;2;E1_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;1;20;7;14;25;2
F1;2;F1_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;2;20;7;14;25;2
G1;2;G1_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;3;20;7;14;25;2
H1;2;H1_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;4;20;7;14;25;2
A2;2;A2_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;1;25;7;14;50;2
B2;2;B2_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;2;25;7;14;50;2
C2;2;C2_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;3;25;7;14;50;2
D2;2;D2_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;4;25;7;14;50;2
E2;2;E2_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;1;25;7;14;25;2
F2;2;F2_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;2;25;7;14;25;2
G2;2;G2_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;3;25;7;14;25;2
H2;2;H2_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;4;25;7;14;25;2
A3;2;A3_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;1;30;7;14;50;2
B3;2;B3_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;2;30;7;14;50;2
C3;2;C3_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;3;30;7;14;50;2
D3;2;D3_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;4;30;7;14;50;2
E3;2;E3_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;1;30;7;14;25;2
F3;2;F3_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;2;30;7;14;25;2
G3;2;G3_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;3;30;7;14;25;2
H3;2;H3_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;4;30;7;14;25;2
A4;2;A4_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;1;34;7;14;50;2
